,vocab,counts
4073,baltimore,4
4074,bar,4
4075,barrack,4
4076,bear,4
4077,bearing,4
4078,bedroom,4
4079,beg,4
4080,bench,4
4081,bennett,4
4082,billing,4
4083,bless,4
4084,blew,4
4085,blunt,4
4086,bone,4
4087,bork,4
4088,brave,4
4089,brooklyn,4
4090,brutal,4
4091,buttigiege,4
4092,capable,4
4093,capitol,4
4094,carnage,4
4095,casey,4
4096,casino,4
4097,catastrophe,4
4098,catch,4
4099,ceiling,4
4100,chain,4
4101,chairman,4
4102,champion,4
4103,chevy,4
4104,chose,4
4105,circle,4
4106,claimed,4
4107,clyburn,4
4108,coach,4
4109,cocaine,4
4110,coke,4
4111,combination,4
4112,commentator,4
4113,compensation,4
4114,competent,4
4115,competitor,4
4116,complicate,4
4117,conclusion,4
4118,conference,4
4119,confirm,4
4120,confiscation,4
4121,consideration,4
4122,constant,4
4123,contest,4
4124,context,4
4125,conventional,4
4126,cooper,4
4127,coordinate,4
4128,cop,4
4129,corybookercom,4
4130,counter,4
4131,counting,4
4132,crossing,4
4133,crow,4
4134,cruel,4
4135,cry,4
4136,cyber,4
4137,daily,4
4138,deadline,4
4139,deadly,4
4140,decline,4
4141,deescalate,4
4142,delighted,4
4143,denounce,4
4144,descendant,4
4145,deterioration,4
4146,diagnosis,4
4147,dial,4
4148,disagreed,4
4149,disappear,4
4150,disclose,4
4151,dismiss,4
4152,distribution,4
4153,douglas,4
4154,drag,4
4155,drove,4
4156,dump,4
4157,dunford,4
4158,during,4
4159,ear,4
4160,economics,4
4161,economist,4
4162,educator,4
4163,eligible,4
4164,elite,4
4165,email,4
4166,embassy,4
4167,employerbased,4
4168,empty,4
4169,engagement,4
4170,enrich,4
4171,enroll,4
4172,entry,4
4173,escape,4
4174,excellent,4
4175,exception,4
4176,extensive,4
4177,faster,4
4178,fastest,4
4179,favorite,4
4180,fence,4
4181,ferguson,4
4182,firefighter,4
4183,footprint,4
4184,forprofit,4
4185,fouryearold,4
4186,framework,4
4187,france,4
4188,galvanize,4
4189,generic,4
4190,genius,4
4191,gentleman,4
4192,grandfather,4
4193,grocery,4
4194,gum,4
4195,hang,4
4196,harass,4
4197,hardest,4
4198,headline,4
4199,heartbeat,4
4200,hide,4
4201,hill,4
4202,holder,4
4203,holiday,4
4204,homework,4
4205,hopefully,4
4206,horrible,4
4207,hunt,4
4208,ignore,4
4209,imagination,4
4210,immediate,4
4211,imminent,4
4212,immunity,4
4213,impeachable,4
4214,imperative,4
4215,inclusion,4
4216,india,4
4217,indict,4
4218,inequity,4
4219,inflation,4
4220,insider,4
4221,inspiration,4
4222,institution,4
4223,insurer,4
4224,intend,4
4225,internationally,4
4226,involvement,4
4227,involves,4
4228,james,4
4229,johnson,4
4230,joseph,4
4231,julian,4
4232,kavanaugh,4
4233,kentucky,4
4234,khashoggi,4
4235,lady,4
4236,lawful,4
4237,legislator,4
4238,legislature,4
4239,liable,4
4240,lobbying,4
4241,los,4
4242,louisiana,4
4243,maddow,4
4244,malfeasance,4
4245,mall,4
4246,management,4
4247,manchester,4
4248,mandate,4
4249,maralago,4
4250,material,4
4251,meantime,4
4252,medicareforall,4
4253,mideast,4
4254,midwestern,4
4255,monitor,4
4256,montana,4
4257,monthly,4
4258,msnbc,4
4259,navy,4
4260,newcomer,4
4261,newshour,4
4262,nibble,4
4263,nonwhite,4
4264,nope,4
4265,norm,4
4266,object,4
4267,obvious,4
4268,on,4
4269,operate,4
4270,originally,4
4271,outright,4
4272,outsource,4
4273,overdose,4
4274,pardon,4
4275,passion,4
4276,patriot,4
4277,perform,4
4278,performance,4
4279,persuade,4
4280,photo,4
4281,photograph,4
4282,pipeline,4
4283,piss,4
4284,playground,4
4285,poker,4
4286,polarization,4
4287,politburo,4
4288,predecessor,4
4289,prescribed,4
4290,prevail,4
4291,pricing,4
4292,prisoner,4
4293,production,4
4294,proliferation,4
4295,proof,4
4296,prospect,4
4297,prove,4
4298,psychologist,4
4299,puerto,4
4300,punch,4
4301,purge,4
4302,racially,4
4303,rail,4
4304,reassure,4
4305,recommend,4
4306,reddest,4
4307,refuge,4
4308,relatively,4
4309,religious,4
4310,reminder,4
4311,reputation,4
4312,restaurant,4
4313,restoration,4
4314,restriction,4
4315,restructure,4
4316,retail,4
4317,revolve,4
4318,rhetoric,4
4319,rico,4
4320,rig,4
4321,rightly,4
4322,ring,4
4323,robot,4
4324,roof,4
4325,roosevelt,4
4326,ruling,4
4327,ruth,4
4328,ruthless,4
4329,sacred,4
4330,safest,4
4331,sake,4
4332,sane,4
4333,savannah,4
4334,scale,4
4335,scholar,4
4336,seeker,4
4337,segment,4
4338,segregate,4
4339,selfies,4
4340,serf,4
4341,severe,4
4342,shaheen,4
4343,ship,4
4344,sibelius,4
4345,signal,4
4346,site,4
4347,sneak,4
4348,soil,4
4349,solid,4
4350,sondland,4
4351,soybean,4
4352,spur,4
4353,startup,4
4354,stateless,4
4355,statewide,4
4356,stopandfrisk,4
